Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Updated Month,Updated Year
ART_AND_DESIGN,4.1,159,19.0,10000,Free,0.0,Everyone,1,2018
ART_AND_DESIGN,3.9,967,14.0,500000,Free,0.0,Everyone,1,2018
ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0.0,Everyone,8,2018
ART_AND_DESIGN,4.5,215644,25.0,50000000,Free,0.0,Teen,6,2018
ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,6,2018
ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,3,2017
ART_AND_DESIGN,3.8,178,19.0,50000,Free,0.0,Everyone,4,2018
ART_AND_DESIGN,4.1,36815,29.0,1000000,Free,0.0,Everyone,6,2018
ART_AND_DESIGN,4.4,13791,33.0,1000000,Free,0.0,Everyone,9,2017
ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,7,2018
ART_AND_DESIGN,4.4,13880,28.0,1000000,Free,0.0,Everyone,10,2017
ART_AND_DESIGN,4.4,8788,12.0,1000000,Free,0.0,Everyone,7,2018
ART_AND_DESIGN,4.2,44829,20.0,10000000,Free,0.0,Teen,4,2018
ART_AND_DESIGN,4.6,4326,21.0,100000,Free,0.0,Everyone,6,2018
ART_AND_DESIGN,4.4,1518,37.0,100000,Free,0.0,Everyone,8,2018
ART_AND_DESIGN,3.2,55,2.7,5000,Free,0.0,Everyone,6,2018
ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,7,2018
ART_AND_DESIGN,4.5,27,17.0,10000,Free,0.0,Everyone,11,2017
ART_AND_DESIGN,4.3,194216,39.0,5000000,Free,0.0,Everyone,8,2018
ART_AND_DESIGN,4.6,224399,31.0,10000000,Free,0.0,Everyone,7,2018
ART_AND_DESIGN,4.0,450,14.0,100000,Free,0.0,Everyone,4,2018
ART_AND_DESIGN,4.1,654,12.0,100000,Free,0.0,Everyone,3,2018
ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,7,2018
ART_AND_DESIGN,4.3,61,7.0,100000,Free,0.0,Everyone,3,2018
ART_AND_DESIGN,4.7,118,23.0,50000,Free,0.0,Everyone,7,2018
